French,English
partie,part
histoire,history
seulement,only
police,police
aide,help
genre,kind
mois,month
frère,brother
car,because
mettre,to put
aucun,no
laisse,leash
eux,them
ville,city
chaque,each
parlé,speak
arrivé,come
devrait,should
longtemps,long time
vont,will
revoir,meet again
aucune,any
place,square
parle,speak
compris,understood
attention,Warning
voici,here is
pourrais,could
affaire,case
train,train
endroit,place
yeux,eyes
façon,way
dont,whose
trouve,find
premier,first
perdu,lost
main,hand
première,first
côté,side
pouvoir,power
vieux,old
sois,be
tiens,here
matin,morning
tellement,so much
enfant,child
point,point
suite,after
pardon,sorry
venez,come
vers,towards
minutes,minutes
demandé,request
mis,placed
belle,beautiful
droit,law
aimerais,would like to
mari,husband
enfin,finally
espère,hope
eau,water
attendez,Wait
parti,left
boulot,job
arrêter,Stop
compte,account
donne,given
loin,far
croire,believe
gros,large
plutôt,rather
aura,will have
jouer,to play
bureau,office
